,0
num__HbA1c_level,2.494345972217309
num__blood_glucose_level,1.363059453848618
cat__hypertension_0,-1.256195589458886
cat__heart_disease_0,-1.249920871114425
num__age,1.0262638610272177
cat__gender_Female,-0.8303385762289929
cat__smoking_history_No Info,-0.8255783990714036
num__bmi,0.5923978795939995
cat__gender_Male,-0.5391621471761507
cat__heart_disease_1,-0.5007606917481289
cat__hypertension_1,-0.49448597340044187
cat__gender_Other,-0.38118083945541664
cat__smoking_history_not current,-0.2562008147347774
cat__smoking_history_never,-0.23455483494281484
cat__smoking_history_former,-0.1913342064732265
cat__smoking_history_ever,-0.14678253659454715
cat__smoking_history_current,-0.09623077104185476
